blue,9.125,0,0,0,0,0
blue,8.839,2.362,0,0,0,0
blue,8.0,4.563,0,0,0,0
blue,6.648,6.448,0,0,0,0
blue,4.881,7.890,0,0,0,0
blue,2.834,8.796,0,0,0,0
blue,0.669,9.100,0,0,0,0
blue,-1.445,8.785,0,0,0,0
blue,-3.350,7.865,0,0,0,0
blue,-4.918,6.397,0,0,0,0
blue,-6.050,4.473,0,0,0,0
blue,-6.685,2.222,0,0,0,0
blue,-6.801,-0.187,0,0,0,0
blue,-6.395,-2.563,0,0,0,0
blue,-5.497,-4.716,0,0,0,0
blue,-4.165,-6.478,0,0,0,0
blue,-2.488,-7.722,0,0,0,0
blue,-0.573,-8.373,0,0,0,0
blue,1.445,-8.404,0,0,0,0
blue,3.382,-7.832,0,0,0,0
blue,5.060,-6.718,0,0,0,0
blue,6.329,-5.154,0,0,0,0
blue,7.083,-3.261,0,0,0,0
blue,7.260,-1.185,0,0,0,0
yellow,15.375,0,0,0,0,0
yellow,14.894,3.977,0,0,0,0
yellow,13.472,7.680,0,0,0,0
yellow,11.193,10.856,0,0,0,0
yellow,8.217,13.284,0,0,0,0
yellow,4.770,14.800,0,0,0,0
yellow,1.126,15.312,0,0,0,0
yellow,-2.432,14.782,0,0,0,0
yellow,-5.640,13.233,0,0,0,0
yellow,-8.280,10.764,0,0,0,0
yellow,-10.184,7.526,0,0,0,0
yellow,-11.253,3.741,0,0,0,0
yellow,-11.447,-0.315,0,0,0,0
yellow,-10.764,-4.313,0,0,0,0
yellow,-9.253,-7.936,0,0,0,0
yellow,-7.011,-10.906,0,0,0,0
yellow,-4.189,-12.999,0,0,0,0
yellow,-0.964,-14.094,0,0,0,0
yellow,2.432,-14.146,0,0,0,0
yellow,5.694,-13.183,0,0,0,0
yellow,8.519,-11.308,0,0,0,0
yellow,10.655,-8.674,0,0,0,0
yellow,11.930,-5.489,0,0,0,0
yellow,12.222,-1.994,0,0,0,0
big_orange,-1.5,-1,0,0,0,0
big_orange,1.5,-1,0,0,0,0
big_orange,-1.5,1,0,0,0,0
big_orange,1.5,1,0,0,0,0
